addr,coordinates,distance_to_mrt
237 BISHAN ST 22 SINGAPORE,"(1.3592871, 103.8473951)",0.923852575147
304 SHUNFU RD SINGAPORE,"(1.35014635, 103.838076916626)",0.219092406939
254 BISHAN ST 22 SINGAPORE,"(1.3620182, 103.842763761787)",1.03166706585
313 SHUNFU RD SINGAPORE,"(1.35142015, 103.837151386161)",0.393411952448
113 BISHAN ST 12 SINGAPORE,"(1.34722365, 103.848827362151)",0.428578816502
141 BISHAN ST 12 SINGAPORE,"(1.3451189, 103.8533738)",0.845160472076
289 BISHAN ST 24 SINGAPORE,"(1.3566652, 103.8448587)",0.751065419431
144 BISHAN ST 12 SINGAPORE,"(1.3459243, 103.8533738)",0.776991270281
155 BISHAN ST 13 SINGAPORE,"(1.34618195, 103.856046972605)",0.985988499655
156 BISHAN ST 13 SINGAPORE,"(1.3454356, 103.856780315335)",1.06921172672
142 BISHAN ST 12 SINGAPORE,"(1.3454839, 103.853555)",0.826897008561
245 BISHAN ST 22 SINGAPORE,"(1.3604704, 103.843911181924)",1.17009416031
103 BISHAN ST 12 SINGAPORE,"(1.3455143, 103.8483009)",0.585078797462
263 BISHAN ST 22 SINGAPORE,"(1.3589966, 103.842413533822)",1.10599314052
124 BISHAN ST 12 SINGAPORE,"(1.3463772, 103.8510185)",0.584898847312
102 BISHAN ST 12 SINGAPORE,"(1.3451503, 103.8479386)",0.53547087039
179 BISHAN ST 13 SINGAPORE,"(1.3485509, 103.8518879)",0.456422393175
291 BISHAN ST 24 SINGAPORE,"(1.3560045, 103.8451304)",0.673500397758
257 BISHAN ST 22 SINGAPORE,"(1.3600445, 103.8431376)",1.13105722336
244 BISHAN ST 22 SINGAPORE,"(1.36045345, 103.844415192342)",1.14424883194
301 SHUNFU RD SINGAPORE,"(1.34941275, 103.838710957272)",0.111451667305
212 BISHAN ST 23 SINGAPORE,"(1.35660455, 103.848148026447)",0.617505860648
137 BISHAN ST 12 SINGAPORE,"(1.3444608, 103.851748)",0.706797759016
507 BT BATOK ST 52 SINGAPORE,"(1.352213, 103.7537627)",0.585242973467
413 BT BATOK WEST AVE 4 SINGAPORE,"(1.3635376, 103.7467021)",0.787421455895
422 BT BATOK WEST AVE 2 SINGAPORE,"(1.3621505, 103.745797)",0.773828790283
374 BT BATOK ST 31 SINGAPORE,"(1.3581629, 103.7507487)",0.126142169597
416 BT BATOK WEST AVE 4 SINGAPORE,"(1.3631754, 103.745978)",0.821633665052
501 BT BATOK ST 52 SINGAPORE,"(1.3514731, 103.75503)",0.665119067158
342 BT BATOK ST 34 SINGAPORE,"(1.3625739, 103.748603)",0.56542308163
272 BT BATOK EAST AVE 4 SINGAPORE,"(1.3488197, 103.7578362)",0.919573613079
367 BT BATOK ST 31 SINGAPORE,"(1.3603687, 103.7497798)",0.296907601581
347 BT BATOK ST 34 SINGAPORE,"(1.3621922, 103.7512281)",0.403031213035
312 BT BATOK ST 32 SINGAPORE,"(1.3599238, 103.7475394)",0.494624568478
175 BT BATOK WEST AVE 8 SINGAPORE,"(1.3456887, 103.7418143)",0.938653984004
421 BT BATOK WEST AVE 2 SINGAPORE,"(1.3624494, 103.7448013)",0.886467671088
245 BT BATOK EAST AVE 5 SINGAPORE,"(1.3497756, 103.7572026)",0.852825698025
504 BT BATOK ST 52 SINGAPORE,"(1.3519853, 103.7551205)",0.699171041041
239 BT BATOK EAST AVE 5 SINGAPORE,"(1.3503004, 103.7551205)",0.633229145263
533 BT BATOK ST 51 SINGAPORE,"(1.3558992, 103.7497798)",0.375426793914
148 BT BATOK WEST AVE 6 SINGAPORE,"(1.3492668, 103.7438056)",0.640957073257
